1.	가장 오래 익힌 도둑 기술은 무엇입니까?
a.	회피
	#4400
	20 +6
b.	은신
	#4401
	16 +6
c.	기습
	#4402
	19 +6
d.	자물쇠 따기
	#4404
	13 +6
e.	소매치기
	#4405
	15 +6
f.	등반
	#4406
	18 +6
g.	치명타
	#4407
	34 +6
h.	달리기
	#4408
	21 +6
i.	도약
	#4409
	3 +6

2.	가장 오래 익힌 마법 학파는 무엇입니까?
a.	파괴마법
	#4410
	22 +6
b.	회복마법
	#4411
	23 +6
c.	환영마법
	#4412
	24 +6
d.	변화마법
	#4413
	25 +6
e.	기적술
	#4414
	26 +6
f.	신비마법
	#4415
	27 +6

3.	당신이 가장 능숙한 전투 방식은 무엇입니까?
a.	단도류
	#4416
	28 +6
	IT 3 4 1
b.	맨손 격투
	#4417
	30 +6
	IT 2 1 0
c.	도끼술
	#4418
	31 +6
	IT 3 14 0
d.	둔기류
	#4419
	32 +6
	IT 3 11 0
e.	궁술
	#4420
	33 +6
	IT 3 16 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0

4.	어린 시절 당신의 별명은 ___였습니다.
a.	토끼
	#4421
	3 +6
b.	송사리
	#4422
	17 +6
c.	수은
	#4423
	21 +6
d.	싸움꾼
	#4424
	30 +6
e.	원숭이
	#4425
	18 +6

5.	당신은 보통 사람보다 ___과 더 우호적입니다.
a.	야만적인 하피
	#4428
	5 +6
b.	순박한 거인
	#4429
	6 +6
c.	영광스러운 드래곤
	#4430
	7 +6
d.	수줍음 없는 님프
	#4431
	8 +6
e.	지옥의 데이드라
	#4432
	9 +6
f.	전원적인 스프리건
	#4433
	10 +6
g.	원시적인 켄타우로스
	#4434
	11 +6
h.	장난기 많은 임프
	#4435
	12 +6

6.	성장한 뒤에는 ___ 학파의 마법을 추가로 배웠습니다.
a.	파괴마법
	#4436
	22 +6
b.	회복마법
	#4437
	23 +6
c.	환영마법
	#4438
	24 +6
d.	변화마법
	#4439
	25 +6
e.	기적술
	#4440
	26 +6
f.	신비마법
	#4441
	27 +6

7.	정규 수업이 없는 동안에는 주로 ___하며 시간을 보냈습니다.
a.	귀족들과 어울리기
	1 +6
	r3 +5
	r0 -5
b.	거리에서 살아가는 요령 배우기
	2 +6
	r0 +2
	r4 +3
	r3 -5
c.	곡예 연습하기
	3 +2
	20 +2
	18 +2
d.	무단 침입하기
	16 +6
e.	경제학 배우기
	14 +6
f.	수영하기
	17 +6
g.	대련하기
	34 +6

8.	불쾌한 부류 가운데 당신이 가장 증오하는 이들은 ___입니다.
a.	독선적인 사제
	#4442
	AE M 8 12 +3
b.	악마 같은 마법사
	#4443
	AE M 8 2 +4
c.	어리석은 농민
	#4444
	AE M 8 8 +3
d.	권력에 미친 악덕 영주
	#4445
	AE M 8 17 +4
e.	부도덕한 암살자
	#4446
	AE M 8 11 +2

9.	당신이 모험가의 삶을 택한 이유는 무엇입니까?
a.	부
	GP +500
b.	명성
	r4 +10
	r2 +10
c.	지식
	IT 7 0 0
d.	즐거움
	1 +3
	2 +3
e.	다른 사람을 돕기 위해
	r0 +10

10.	당신이 숭배하는 신이 있다면 누구입니까?
a.	없음
	r2 +5
b.	탄생과 죽음의 신 아케이
	rf82 +5
c.	상업의 신 제니타르
	rf84 +5
d.	어머니 여신 마라
	rf88 +5
e.	아름다움의 여신 디벨라
	rf98 +5
f.	논리의 신 줄리아노스
	rf94 +5
g.	시간의 신 아카토쉬
	rf92 +5
h.	자비의 신 스텐다르
	rf106 +5
i.	하늘의 여신 키나레스
	rf36 +5

11.	제국 도시로 떠나기 전, 어머니가 당신에게 준 것은 ___입니다.
a.	금화 100닢
	GP +100
b.	어머니가 가장 아끼는 책
	IT 7 0 0
c.	흉갑
	IT 2 0 0
d.	진주
	IT 22 1 0

12.	당신이 가장 어려움을 겪는 것은 ___입니다.
a.	독에 저항하기
	RP -10
b.	잠들지 않고 경계를 유지하기
	FT -5
c.	다른 사람들과 원만하게 지내기
	RR -5
d.	질병을 피하기
	RD -5
e.	마법에 저항하기
	MR -5
f.	마법 없이 싸우기
	TH -5

