1.	당신은 ___을 어느 정도 익혔습니다.
a.	단도류
	#4454
	28 +6
	IT 3 1 3
b.	맨손 격투
	#4455
	30 +6
	IT 2 1 0
c.	도끼술
	#4456
	31 +6
	IT 3 14 1
d.	둔기류
	#4457
	32 +6
	IT 3 2 1
e.	궁술
	#4458
	33 +6
	IT 3 16 1
	IT 3 18 1
	IT 3 18 1
	IT 3 18	1
	IT 3 18 1
	IT 3 18 1
	IT 3 18 1
f.	장검류
	#4459
	29 +6
	IT 3 7 1

2.	당신이 가장 오랫동안 연구한 도둑 기술은 무엇입니까?
a.	회피
	#4550
	20 +6
b.	은신
	#4551
	16 +6
c.	기습 공격
	#4552
	19 +6
d.	자물쇠 따기
	#4554
	13 +6
e.	소매치기
	#4555
	15 +6
f.	등반
	#4556
	18 +6
g.	치명타
	#4557
	34 +6
h.	달리기
	#4558
	21 +6
i.	도약
	#4559
	3 +6

3.	당신이 모험가의 삶을 택한 동기는 무엇입니까?
a.	부
	#4560
	GP +500
b.	명성
	#4561
	r4 +10
	r2 +10
c.	지식
	#4562
	IT 7 0 0
d.	즐거움
	#4563
	1 +3
	2 +3
e.	다른 사람을 돕기 위해
	#4564
	r0 +10

4.	당신이 선호하는 범죄 수법은 ___입니다.
a.	침입 절도
	#4565
	AF F 7 12 +1
b.	노상 강도
	#4566
	AF F 7 12 +1
c.	소매치기
	#4567
	AF F 7 12 +1
d.	사기
	#4568
	AF F 7 12 +1
e.	밀수
	#4569
	AF F 7 12 +1
f.	은행 털이
	#4570
	AF F 7 12 +1

5.	보상을 고를 수 있다면 당신은 ___을 선택할 것입니다.
a.	금화 200닢
	#4528
	GP +200
b.	에보니 단검
	#4529
	IT 3 0 7
c.	흥미로운 책
	#4530
	IT 7 0 0
d.	루비
	#4531
	IT 14 0 0
e.	은 지팡이
	#4532
	IT 3 2 2
f.	아뮬렛
	#4192
	IT 25 0 0

6.	당신이 익힌 가장 중요한 생존 기술은 ___하는 법이었습니다.
a.	간단한 상처 치료하기
	0 +6
b.	사람들의 환심 사기
	1 +6
c.	사람들에게 명령하기
	2 +6
d.	상인들과 흥정하기
	14 +6
e.	단검으로 싸우기
	28 +6

7.	당신은 활동적인 아이였으며, 같은 나이의 누구보다 ___했습니다.
a.	더 빨랐습니다
	21 +6
b.	더 은밀했습니다
	16 +6
c.	등반을 더 잘했습니다
	18 +6
d.	수영을 더 잘했습니다
	17 +6
e.	싸움을 더 잘했습니다
	30 +6

8.	당신은 원하는 것을 대부분 ___에게서 훔쳐 얻을 수 있었습니다.
a.	부유한 귀족
	#4654
	!4655
	IT 25 3 0
b.	학자들
	#4652
	!4653
	IT 7 0 0
c.	유서 깊은 사원
	#4650
	!4651
	IT 10 4 0
d.	여러 물품을 취급하는 상인
	#4656
	!4657
	IT 25 5 0

9.	당신이 일을 해내는 데 반드시 필요한 기술은 ___입니다.
a.	자물쇠 따기
	13 +6
b.	소매치기
	15 +6
c.	은밀한 이동
	16 +6
d.	회피
	20 +6
e.	등반
	18 +6
f.	기습 공격
	19 +6

10.	어릴 적 당신의 별명은 ___였습니다.
a.	토끼
	3 +6
b.	송사리
	17 +6
c.	수은
	21 +6
d.	싸움꾼
	30 +6
e.	원숭이
	18 +6

11.	당신이 숭배하는 신이 있다면 누구입니까?
a.	없음
	r2 +5
b.	탄생과 죽음의 신 아케이
	rf82 +5
c.	상업의 신 제니타르
	rf84 +5
d.	어머니 여신 마라
	rf88 +5
e.	아름다움의 여신 디벨라
	rf98 +5
f.	논리의 신 줄리아노스
	rf94 +5
g.	시간의 신 아카토쉬
	rf92 +5
h.	자비의 신 스텐다르
	rf106 +5
i.	하늘의 여신 키나레스
	rf36 +5

12.	어릴 적 허약했던 건강 때문에 당신은 ___하게 되었습니다.
a.	독에 대한 저항력이 낮아짐
	RP -5
b.	질병에 대한 저항력이 낮아짐
	RD -5
c.	쉽게 피로해짐
	FT -5
d.	마법에 대한 저항력이 낮아짐
	MR -5

