1.	불쾌한 부류 가운데 당신이 가장 증오하는 이들은 ___입니다.
a.	독선적인 사제
	#4650
	!4651
	AE M 8 12 +3
b.	사악한 마법사
	#4652
	!4653
	AE M 8 2 +4
c.	권력에 미친 악덕 영주
	#4654
	!4655
	AE M 8 17 +4
d.	탐욕스러운 상인들
	#4656
	!4657
	AE M 8 11 +2

2.	당신이 일을 해내는 데 반드시 필요한 기술은 ___입니다.
a.	자물쇠 따기
	#4522
	13 +6
b.	소매치기
	#4523
	15 +6
c.	은밀한 이동
	#4524
	16 +6
d.	회피
	#4525
	20 +6
e.	등반
	#4526
	18 +6
f.	기습 공격
	#4527
	19 +6

3.	당신이 가장 능숙한 전투 방식은 무엇입니까?
a.	단도류
	#4200
	IT 3 0 2
	28 +6
b.	맨손 격투
	#4201
	30 +6
	IT 2 1 0
c.	도끼술
	#4202
	31 +6
	IT 3 14 0
d.	둔기류
	#4203
	32 +6
	IT 3 11 0
e.	궁술
	#4204
	33 +6
	IT 3 16 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0

4.	황제는 공로에 대한 보답으로 당신에게 ___을 주었습니다.
a.	금화 200닢 이상
	#4528
	GP +250
b.	에보니 단검
	#4529
	IT 3 0 7
c.	흥미로운 책
	#4530
	IT 7 0 0
d.	루비
	#4531
	IT 14 0 0
e.	은 지팡이
	#4532
	IT 3 2 2
f.	아뮬렛
	#4192
	IT 25 0 0

5.	어릴 적 당신의 별명은 ___였습니다.
a.	토끼
	3 +6
b.	송사리
	17 +6
c.	수은
	21 +6
d.	싸움꾼
	30 +6
e.	원숭이
	18 +6

6.	당신은 보통 사람보다 ___에게 더 우호적입니다.
a.	야만적인 하피
	5 +6
b.	단순한 거인
	6 +6
c.	영광스러운 드래곤
	7 +6
d.	방종한 님프
	8 +6
e.	지옥의 데이드라
	9 +6
f.	전원적인 스프리건
	10 +6
g.	원시적인 켄타우로스
	11 +6
h.	장난기 많은 임프
	12 +6

7.	어린 시절부터 당신은 ___을 간직해 왔습니다.
a.	금화 100닢
	GP +100
b.	가장 좋아하는 책
	IT 7 0 0
c.	흉갑
	IT 2 0 0
d.	진주
	IT 22 1 0

8.	당신은 할 수 있는 한, ___합니다.
a.	귀족들과 어울리기
	1 +6
	r3 +5
	r0 -5
b.	거리에서 살아가는 요령 배우기
	2 +6
	r0 +2
	r4 +3
	r3 -5
c.	곡예 연습하기
	3 +2
	20 +2
	18 +2
d.	무단 침입하기
	13 +6
e.	경제학 공부하기
	14 +6
f.	수영하기
	17 +6
g.	대련하기
	34 +6

9.	당신이 모험가의 삶을 택한 동기는 무엇입니까?
a.	부
	GP +500
b.	명성
	r4 +10
	r2 +10
c.	지식
	IT 7 0 0
d.	즐거움
	1 +3
	2 +3
e.	다른 사람을 돕기 위해
	r0 +10

10.	당신이 숭배하는 신이 있다면 누구입니까?
a.	없음
	r2 +5
b.	탄생과 죽음의 신 아케이
	rf82 +5
c.	상업의 신 제니타르
	rf84 +5
d.	어머니 여신 마라
	rf88 +5
e.	아름다움의 여신 디벨라
	rf98 +5
f.	논리의 신 줄리아노스
	rf94 +5
g.	시간의 신 아카토쉬
	rf92 +5
h.	자비의 신 스텐다르
	rf106 +5
i.	하늘의 여신 키나레스
	rf36 +5

11.	제국 도시로 떠나기 전, 당신은 ___을 챙겼습니다.
a.	금화 100닢
	GP +100
b.	책
	IT 7 0 0
c.	버클러
	IT 2 7 1
d.	건틀릿
	IT 2 1 0

12.	당신이 가장 어려움을 겪는 것은 ___입니다.
a.	독에 저항하기
	RP -10
b.	잠들지 않고 경계를 유지하기
	FT -5
c.	다른 사람들과 원만하게 지내기
	RR -5
d.	질병을 피하기
	RD -5
e.	마법에 저항하기
	MR -5
f.	마법 없이 싸우기
	TH -5

