1.	당신은 어느 정도 ___ 훈련을 받았습니다.
a.	단검
	#4454
	28 +6
	IT 3 1 3
b.	맨손 격투
	#4455
	30 +6
	IT 2 1 0
c.	도끼술
	#4456
	31 +6
	IT 3 14 1
d.	둔기
	#4457
	32 +6
	IT 3 2 1
e.	궁술
	#4458
	33 +6
	IT 3 16 1
	IT 3 18 1
	IT 3 18 1
	IT 3 18	1
	IT 3 18 1
	IT 3 18 1
	IT 3 18 1
f.	장검
	#4459
	29 +6
	IT 3 8 1

2.	당신이 가장 오랫동안 연구한 도둑 기술은 무엇입니까?
a.	회피
	#4550
	20 +6
b.	은신
	#4551
	16 +6
c.	기습 공격
	#4552
	19 +6
d.	자물쇠 따기
	#4554
	13 +6
e.	소매치기
	#4555
	15 +6
f.	등반
	#4556
	18 +6
g.	치명타
	#4557
	34 +6
h.	달리기
	#4558
	21 +6
i.	도약
	#4559
	3 +6

3.	당신을 모험의 삶으로 이끄는 동기는 무엇입니까?
a.	부
	#4560
	GP +500
b.	명성
	#4561
	r4 +10
	r2 +10
c.	지식
	#4562
	IT 7 0 0
d.	재미
	#4563
	1 +3
	2 +3
e.	타인 돕기
	#4564
	r0 +10

4.	당신이 선호하는 범죄 방식은 ___입니다.
a.	빈집털이
	#4565
	AF F 7 12 +1
b.	노상강도
	#4566
	AF F 7 12 +1
c.	소매치기
	#4567
	AF F 7 12 +1
d.	사기
	#4568
	AF F 7 12 +1
e.	밀수
	#4569
	AF F 7 12 +1
f.	은행 강도
	#4570
	AF F 7 12 +1

5.	보상을 선택할 수 있다면, 당신은 가장 먼저 ___ 항목을 선택할 것입니다.
a.	금화 200닢
	#4528
	GP + 200
b.	에보니 단검
	#4529
	IT 3 0 7
c.	책
	#4530
	IT 7 0 0
d.	루비
	#4531
	IT 14 0 0
e.	은 지팡이
	#4532
	IT 3 2 2
f.	갑옷 한 벌
	#4196
	IT 2 2 0
	IT 2 3 0
	IT 2 4 0
	IT 2 0 0

6.	당신이 습득한 가장 중요한 생존 기술 중 하나는 ___하는 법이었습니다.
a.	간단한 상처 치료
	0 +6
b.	환심 사기
	1 +6
c.	남을 부려먹기
	2 +6
d.	상인회와 흥정하기
	14 +6
e.	칼로 싸우기
	28 +6

7.	당신은 활동적인 아이였으며, 또래의 누구보다 ___했습니다.
a.	더 빨랐고
	21 +6
b.	더 은밀했고
	16 +6
c.	등반을 더 잘했고
	18 +6
d.	수영을 더 잘했고
	17 +6
e.	싸움을 더 잘했고
	30 +6

8.	당신은 ___에게서 훔치는 것으로 원하는 대부분을 얻을 수 있습니다.
a.	부유한 귀족
	IT 25 3 0
b.	마법사와 현자
	IT 7 0 0
c.	기성 사원
	IT 10 4 0
d.	다양한 상인회
	IT 25 5 0

9.	당신이 없이는 살아갈 수 없는 단 하나의 기술은 반드시 ___이어야 합니다.
a.	자물쇠 따기
	13 +6
b.	소매치기
	15 +6
c.	은밀 행동
	16 +6
d.	회피
	20 +6
e.	등반
	18 +6
f.	기습 공격
	19 +6

10.	어릴 적 당신의 별명은 ___이었습니다.
a.	토끼
	3 +6
b.	구피
	17 +6
c.	퀵실버
	21 +6
d.	싸움꾼
	30 +6
e.	원숭이
	18 +6

11.	당신은 어떤 신을 숭배합니까?
a.	없음
	r2 +5
b.	아케이, 탄생과 죽음의 신 rf82 +5
c.	제니타르, 상업의 신 rf84 +5
d.	마라, 어머니 여신 rf88 +5
e.	디벨라, 미의 여신 rf98 +5
f.	줄리아노스, 논리의 신 rf94 +5
g.	아카토쉬, 시간의 신 rf92 +5
h.	스텐다르, 자비의 신 rf106 +5
i.	키나레스, 공기의 여신 rf36 +5

12.	어릴 적 허약했던 건강 때문에 당신은 ___하게 되었습니다.
a.	독에 대한 저항력이 낮아짐
	RP -5
b.	질병에 대한 저항력이 낮아짐
	RD -5
c.	쉽게 피로해짐
	FT -5
d.	마법에 대한 저항력이 낮아짐
	MR -5

