1.	당신이 선호하는 무기 종류는 ___입니다.
a.	단도류
	#4200
	!4900
	28 +12
	IT 3 4 2
b.	도끼술
	#4202
	!4902
	31 +12
	IT 3 15	0
c.	둔기류
	#4203
	!4903
	32 +12
	IT 3 13	0
d.	궁술
	#4204
	!4904
	33 +12
	IT 3 17	0
	IT 3 18	1
	IT 3 18	1
	IT 3 18	1
	IT 3 18 1
	IT 3 18 1
	IT 3 18 1
e.	장검류
	#4205
	!4905
	29 +12
	IT 3 8 0

2.	당신을 모험의 삶으로 이끄는 동기는 무엇입니까?
a.	부
	#4560
	GP +500
b.	명성
	#4561
	r4 +10
	r2 +10
c.	지식
	#4562
	IT 7 0 0
d.	즐거움
	#4563
	1 +3
	2 +3
e.	다른 사람을 돕기 위해
	#4564
	r0 +10
	
3.	다음 기술 중 가장 오랫동안 익힌 것은 무엇입니까?
a.	회피
	#4550
	!4400
	20 +6
b.	은신
	#4551
	!4401
	16 +6
c.	기습 공격
	#4552
	!4402
	19 +6
d.	자물쇠 따기
	#4554
	!4404
	13 +6
e.	소매치기
	#4555
	!4405
	15 +6
f.	등반
	#4453
	!4406
	18 +6
g.	치명타
	#4452
	!4407
	34 +6
h.	달리기
	#4451
	!4408
	21 +6
i.	도약
	#4450
	!4409
	3 +6

4.	어린 시절 당신의 별명은 ___였습니다.
a.	토끼
	3 +6
b.	송사리
	17 +6
c.	수은
	21 +6
d.	싸움꾼
	30 +6
e.	원숭이
	18 +6

5.	당신은 ___을 빌렸다가 나중에는 돌려주지 않아도 되었습니다.
a.	금화 200닢
	GP +200
b.	책
	IT 7 0 0
c.	엘프제 플레일
	IT 3 12 3
d.	다이카타나
	IT 3 10 0

6.	당신이 숭배하는 신이 있다면 누구입니까?
a.	없음
	r2 +5
b.	탄생과 죽음의 신 아케이
	rf82 +5
c.	상업의 신 제니타르
	rf84 +5
d.	어머니 여신 마라
	rf88 +5
e.	아름다움의 여신 디벨라
	rf98 +5
f.	논리의 신 줄리아노스
	rf94 +5
g.	시간의 신 아카토쉬
	rf92 +5
h.	자비의 신 스텐다르
	rf106 +5
i.	하늘의 여신 키나레스
	rf36 +5

7.	당신이 가장 어려움을 겪는 것은 ___입니다.
a.	독에 저항하기
	RP -10
b.	잠들지 않고 경계를 유지하기
	FT -5
c.	다른 사람들과 원만하게 지내기
	RR -5
d.	질병을 피하기
	RD -5
e.	마법에 저항하기
	MR -5
f.	싸우며 공격을 막아내기
	TH -5

8.	어린 시절부터 당신은 ___을 모아왔습니다.
a.	금화 100닢
	GP + 100
b.	아끼는 책
	IT 7 0 0
c.	화살 열두 개
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
d.	진주
	IT 22 1 0

9.	당신은 보통 사람보다 ___에게 더 우호적입니다.
a.	야만적인 하피
	#4764
	5 +6
b.	단순한 거인
	#4765
	6 +6
c.	영광스러운 드래곤
	#4766
	7 +6
d.	방자한 님프
	#4767
	8 +6
e.	지옥의 데이드라
	#4768
	9 +6
f.	전원적인 스프리건
	#4769
	10 +6
g.	원시적인 켄타우로스
	#4770
	11 +6
h.	장난기 많은 임프
	#4771
	12 +6

10.	보상으로 금화 200닢을 받은 당신은 무엇을 하기로 했습니까?
a.	저축하기
	GP +200
b.	에보니 단검 사기
	IT 3 0 7
c.	좋은 책 사기
	IT 7 0 0
d.	루비 사기
	IT 14 0 0
e.	은 지팡이 사기
	IT 3 2 2

11.	당신은 여가 시간마다 어떤 전투 기술을 훈련합니까?
a.	단도류
	28 +6
b.	맨손 격투
	30 +6
c.	도끼술
	31 +6
d.	둔기류
	32 +6
e.	궁술
	33 +6
f.	장검류
	29 +6

12.	당신은 다음 중 누구와 막역한 친구 사이입니까?
a.	수도사
	#4212
	AF O 8 12 +1
b.	마법사
	#4213
	AF O 8 2 +1
c.	도적
	#4214
	AF O 8 8 +1
d.	전사
	#4215
	AF O 8 17 +1
e.	암살자
	#4216
	AF O 8 11 +1

