1.	활과 화살 외에, 당신이 가장 능숙한 것은 ___입니다.
a.	단도류
	#4416
	33 +9
	28 +3
	IT 3 3 0
b.	맨손 격투
	#4417
	33 +9
	30 +3
	IT 2 1 0
c.	도끼술
	#4418
	33 +9
	31 +3
	IT 3 15 0
d.	둔기류
	#4419
	33 +9
	32 +3
	IT 3 13 0
e.	장검류
	#4205
	33 +9
	29 +3
	IT 3 9 0

2.	당신을 모험의 삶으로 이끄는 동기는 무엇입니까?
a.	부
	#4560
	GP +500
b.	명성
	#4561
	r4 +10
	r2 +10
c.	지식
	#4562
	IT 7 0 0
d.	즐거움
	#4563
	1 +3
	2 +3
e.	다른 사람을 돕기 위해
	#4564
	r0 +10
	
3.	다음 기술 중 가장 오랫동안 익힌 것은 무엇입니까?
a.	회피
	20 +6
b.	은신
	16 +6
c.	기습 공격
	19 +6
d.	자물쇠 따기
	13 +6
e.	소매치기
	15 +6
f.	등반
	18 +6
g.	치명타
	34 +6
h.	달리기
	21 +6
i.	도약
	3 +6

4.	어린 시절 당신의 별명은 ___였습니다.
a.	토끼
	3 +6
b.	송사리
	17 +6
c.	수은
	21 +6
d.	싸움꾼
	30 +6
e.	원숭이
	18 +6

5.	불쾌한 부류 가운데 당신이 가장 증오하는 것은 ___입니다.
a.	독선적인 사제
	#4212
	AE M 8 12 +3
b.	사악한 마법사
	#4213
	AE M 8 2 +4
c.	어리석은 농부
	#4214
	AE M 8 8 +3
d.	권력에 미친 악덕 영주
	#4215
	AE M 8 17 +4

6.	당신은 ___과 유난히 잘 통합니다.
a.	야만적인 하피
	#4428
	5 +6
b.	단순한 거인
	#4429
	6 +6
c.	영광스러운 드래곤
	#4430
	7 +6
d.	방자한 님프
	#4431
	8 +6
e.	지옥의 데이드라
	#4432
	9 +6
f.	전원적인 스프리건
	#4433
	10 +6
g.	원시적인 켄타우로스
	#4434
	11 +6
h.	장난기 많은 임프
	#4435
	12 +6

7.	당신이 가장 어려움을 겪는 것은 ___입니다.
a.	독에 저항하기
	RP -10
b.	잠들지 않고 경계를 유지하기
	FT -5
c.	다른 사람들과 원만하게 지내기
	RR -5
d.	질병을 피하기
	RD -5
e.	주문에 저항하기
	MR -5
f.	싸우며 공격을 막아내기
	TH -5

8.	어린 시절부터 당신은 ___을 모아왔습니다.
a.	금화 100닢
	GP +100
b.	책
	IT 7 0 0
c.	화살 열두 개
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
d.	흉갑
	IT 2 0 0

9.	당신이 가장 편안함을 느끼는 때나 장소는 ___입니다.
a.	단단한 땅 위
	21 +4
b.	물속
	17 +4
c.	바위턱이나 나무 위
	18 +4
d.	어두운 곳이라면 어디든
	16 +4
e.	다른 사람들과 함께 있을 때
	1 +2
	2 +2

10.	보상으로 금화 200닢을 받은 당신은 무엇을 하기로 했습니까?
a.	저축하기
	GP +200
b.	에보니 단검 사기
	IT 3 0 7
c.	희귀한 책 사기
	IT 7 0 0
d.	루비 사기
	IT 14 0 0
e.	은 지팡이 사기
	IT 3 2 2

11.	당신은 여가 시간마다 어떤 전투 기술을 훈련합니까?
a.	단도류
	28 +6
b.	맨손 격투
	30 +6
c.	도끼술
	31 +6
d.	둔기류
	32 +6
e.	궁술
	33 +6
f.	장검류
	29 +6

12.	당신은 다음 중 누구와 막역한 친구 사이입니까?
a.	수도사
	#4212
	AF O 8 12 +1
b.	마법사
	#4213
	AF O 8 2 +1
c.	도적
	#4214
	AF O 8 8 +1
d.	전사
	#4215
	AF O 8 17 +1
e.	암살자
	#4216
	AF O 8 11 +1

