- Text database for game settings window.

schema: *key,text

- Tabs and section titles

gamePlay,게임 플레이
interface,인터페이스
enhancements,향상된 기능
video,비디오
accessibility,접근성

game,게임
controls,컨트롤
audio,오디오
spells,주문
tooltips,툴팁
hud,HUD
gui,GUI
light,조명
basic,기본
advanced,고급
automap,자동 지도
dungeonmicromap,던전 미니맵

- Settings and tooltip descriptions

startInDungeon,던전에서 시작
startInDungeonInfo,첫 번째 던전 내부에서 새 게임 시작
smallerDungeons,더 작은 던전
smallerDungeonsInfo,무작위 던전은 하나의 내부 블록과 4개의 경계 블록으로만 구성됩니다.
randomDungeonTextures,던전 텍스처
randomDungeonTexturesInfo,무작위 시드에서 던전 텍스처 테이블 생성
cameraRecoilStrength,카메라 반동 강도
cameraRecoilStrengthInfo,플레이어가 피해를 입었을 때 화면 반동 강도. 피해량에 따라 조정됩니다.
mouseSensitivity,마우스 감도
mouseSensitivityInfo,마우스 시점 감도.
weaponSensitivity,무기 감도
weaponSensitivityInfo,마우스 움직임에 대한 무기 휘두르기 감도
movementAcceleration,이동 가속
movementAccelerationInfo,이동 중 약간의 가속/감속 추가
weaponAttackThreshold,무기 공격 임계값
weaponAttackThresholdInfo,공격을 위한 최소 마우스 제스처 이동 거리
soundFont,사운드폰트
soundFontInfo,활성 사운드폰트
alternateMusic,대체 음악
alternateMusicInfo,OPL3 최적화 사운드트랙 버전 사용.
soundVolume,효과음 볼륨
soundVolumeInfo,효과음 볼륨.
musicVolume,음악 볼륨
musicVolumeInfo,음악 볼륨.
spellLighting,주문 조명
spellLightingInfo,주문 조명 활성화
spellShadows,주문 그림자
spellShadowsInfo,주문 그림자 활성화
instantRepairs,즉시 수리 서비스
instantRepairsInfo,수리 대기 시간을 비활성화하고 즉시 수리
bowDrawback,활 - 당기기 및 발사
bowDrawbackInfo,마우스 오른쪽 버튼을 누르는 동안 활 당기기 활성화; 떼면 발사
toggleSneak,은신 토글
toggleSneakInfo,은신 동작을 길게 누르는 대신 토글 방식으로 변경

toolTips,툴팁
toolTipsInfo,GUI 항목에 대한 정보 표시
toolTipDelayInSeconds,지연 시간
toolTipDelayInSecondsInfo,초 단위 툴팁 지연 시간
toolTipTextColor,텍스트 색상
toolTipTextColorInfo,툴팁 텍스트의 폰트 색상
toolTipBackgroundColor,배경 색상
toolTipBackgroundColorInfo,툴팁 배경 색상
crosshair,조준선
crosshairInfo,HUD에 조준선 활성화
vitalsIndicators,상태 표시기
vitalsIndicatorsInfo,상태 변화를 표시하는 상태 바의 표시기 활성화
interactionModeIcon,상호작용 모드 아이콘
interactionModeIconInfo,상호작용 모드용 컨텍스트 아이콘 스타일
arrowCounter,화살 카운터
arrowCounterInfo,활 사용 시 HUD에 화살 카운터 활성화
showQuestJournalClocksAsCountdown,퀘스트 일지 카운트다운
showQuestJournalClocksAsCountdownInfo,시작 시간 대신 남은 시간 표시
inventoryInfoPanel,인벤토리 정보 패널
inventoryInfoPanelInfo,인벤토리 정보 패널
enhancedItemLists,향상된 아이템 목록
enhancedItemListsInfo,인벤토리 16x 아이템 격자
enableModernConversationStyleInTalkWindow,대화창 현대적 스타일
enableModernConversationStyleInTalkWindowInfo,대화창 내 현대적 대화 스타일
iconsPositioningScheme,버프 아이콘 레이아웃
iconsPositioningSchemeInfo,화면상 (디)버프 아이콘의 크기 및 위치
helmAndShieldMaterialDisplay,투구 및 방패 재질 표시
helmAndShieldMaterialDisplayInfo,정보 팝업 및 툴팁에 투구와 방패의 재질 표시
geographicBackgrounds,지리적 배경
geographicBackgroundsInfo,지리적 위치에 기반한 상황별 캐릭터 배경
dungeonExitWagonPrompt,던전 마차 접근 알림
dungeonExitWagonPromptInfo,던전 출구에서 마차 접근 알림. (마차는 출구 5m 이내에서 항상 접근 가능)
travelMapLocationsOutline,지역 지도 위치 외곽선
travelMapLocationsOutlineInfo,가시성 향상을 위해 지역 지도상의 위치에 외곽선 그리기
guildQuestListBox,길드 퀘스트 플레이어 선택
guildQuestListBoxInfo,수행 가능한 길드 퀘스트를 목록 상자에 표시
bowLeftHandWithSwitching,활은 왼손에만 장착
bowLeftHandWithSwitchingInfo,활을 왼손에 장착하고 한손 무기 교체 허용 - 교체 시 짧은 지연 시간 발생
loiterLimitInHours,최대 배회 시간(시간 단위)
loiterLimitInHoursInfo,기본 배회 시간 제한을 시간 단위로 변경
automapTempleColor,길드홀 색상
automapTempleColorInfo,외부 자동 지도상의 사원 및 길드홀 색상
automapShopColor,상점 색상
automapShopColorInfo,외부 자동 지도상의 상점 색상
automapTavernColor,여관 색상
automapTavernColorInfo,외부 자동 지도상의 여관 색상
automapHouseColor,주거지 색상
automapHouseColorInfo,외부 자동 지도상의 주거지 및 기타 건물 색상
dungeonMicMapQoL,미니맵 편의 기능 전환
dungeonMicMapQoLInfo,거짓 = 기본 미니맵 색상 사용 | 참 = 미니맵 편의 기능 색상 사용
dunMicMapInnerColor,내부 구역 색상
dunMicMapInnerColorInfo,편의 기능 옵션이 참일 때 미니맵상 던전 내부 구역의 색상
dunMicMapBorderColor,경계 구역 색상
dunMicMapBorderColorInfo,편의 기능 옵션이 참일 때 미니맵상 던전 경계 구역의 색상

modSystem,모드 시스템
modSystemInfo,모드 지원 활성화.
assetInjection,에셋 주입
assetInjectionInfo,활성화된 모드 및 개별 파일에서 에셋 재정의 가져오기.
compressModdedTextures,모드 텍스처 압축
compressModdedTexturesInfo,그래픽 메모리를 적게 사용하는 압축 형식으로 텍스처 가져오기.
gameConsole,게임 콘솔
gameConsoleInfo,콘솔 명령어 입력 활성화
nearDeathWarning,임사 상태 경고
nearDeathWarningInfo,임사 상태일 때 화면 깜빡임/맥동 효과로 경고 표시.
alternateRandomEnemySelection,대체 무작위 적 선택
alternateRandomEnemySelectionInfo,던전 내 무작위 적 생성 시 변동성 증가.
advancedClimbing,고급 등반 시스템
advancedClimbingInfo,모든 방향으로 벽을 등반하고 벽에서 뛰어내리거나 다시 잡기.
dungeonAmbientLightScale,던전 주변 광원
dungeonAmbientLightScaleInfo,던전 내부 주변 광원의 밝기
nightAmbientLightScale,야간 주변 광원
nightAmbientLightScaleInfo,실내 및 실외 야간 주변 광원의 밝기
playerTorchLightScale,플레이어 횃불 광원
playerTorchLightScaleInfo,플레이어 개인 광원의 밝기
playerTorchFromItems,아이템 기반 플레이어 횃불
playerTorchFromItemsInfo,게임 내 광원에 의해 플레이어 횃불 광원 활성화
combatVoices,전투 발성
