Key,Value
22400,아름다운 처녀
22401,어둠의 전사
22402,끔찍한 아이
22403,뿔 달린 남자
22404,발톱 달린 괴물
22405,녹색 인간형 생물
22406,팔이 네 개인 거인
22407,어둠의 여인
22408,금발 여인
22409,갈라진 발굽을 가진 남자
22410,어둠의 여인
22411,검은 옷을 입은 여인
22412,녹색 뱀
22413,진홍빛 거인
22414,우아한 신사
22415,주름진 노파
22528,검은 망토를 두른 남자
22529,검은 망토를 두른 남자
22530,가슴을 드러낸 무용수
22531,가슴을 드러낸 무용수
22532,무용수
22533,검은 망토를 두른 남자
22534,검은색과 빨간색 옷을 입은 여인
22656,두건을 쓴 노인
22657,모자를 쓴 노인
22658,대머리 남자
22659,금발 여인
22660,눈이 빛나는 남자
22661,마법 제작자
22784,두건을 쓴 여인
22785,빨간 두건을 쓴 남자
22786,빨간 망토를 두른 남자
22787,빨간 망토를 두른 남자
22788,눈이 빛나는 남자
22789,빨간 두건을 쓴 무용수
22790,빨간 두건을 쓴 무용수
22912,벌거벗은 흑발 여인
22913,벌거벗은 여인
22914,수수께끼의 여인
22915,검은 두건을 쓴 무용수
22916,빨간 머리 여인
23040,빨간 옷을 입은 흑발 여인
23041,파란 옷을 입은 귀족 여인
23042,잘 차려입은 남자
23043,보라색 옷을 입은 뚱뚱한 남자
23168,파란 망토를 두른 남자
23169,파란 옷을 입은 젊은 여인
23170,파란 망토를 두른 노인
23171,파란 망토를 두른 소년
23172,아름다운 금발 여인
23173,파란 옷을 입은 무용수
23174,파란 망토를 두른 무용수
23175,파란 망토를 두른 무용수
23296,백발 노인
23297,뚱뚱한 대머리 남자
23298,금발 수염을 기른 남자
23299,수염을 기른 남자
23300,잘 차려입은 소년
23301,광대
23302,광대
23303,흰 수염을 기른 남자
23304,요리사 모자를 쓴 남자
23305,회색 옷을 입은 여인
23306,파란 옷을 입은 여인
23307,상냥한 처녀
23308,우유 짜는 처녀
23309,갈색 옷을 입은 남자
23310,갈색 모자를 쓴 남자
23311,금발 귀족
23312,금발 수염을 기른 남자
23313,금발 수염을 기른 남자
23314,갈색 머리 청년
23315,회색 튜닉을 입은 남자
23316,녹색 코트를 입은 남자
23317,늙은 거지
23318,망토를 두른 노인
23319,파란 코트를 입은 남자
23320,수염을 기른 노인
23321,초라한 선원
23322,녹색 옷을 입은 젊은 숙녀
23323,우아하게 차려입은 숙녀
23324,파란 망토를 두른 여인
23325,불쌍한 늙은 장애인
23326,가련한 대머리 남자
23327,가련한 대머리 남자
