Key,Value
0,루비
1,에메랄드
2,사파이어
3,다이아몬드
4,비취
5,터키석
6,공작석
7,호박
8,잔가지
9,녹색 잎
10,붉은 꽃
11,노란 꽃
12,실뿌리
13,뿌리 구근
14,소나무 가지
15,녹색 열매
16,붉은 열매
17,노란 열매
18,클로버
19,붉은 장미
20,노란 장미
21,검은 장미
22,흰 장미
23,붉은 양귀비
24,검은 양귀비
25,황금 양귀비
26,흰 양귀비
27,은행나무 잎
28,대나무
29,야자잎
30,알로에
31,무화과
32,선인장
33,늑대인간의 피
34,멧돼지인간의 엄니
35,페어리 드래곤의 비늘
36,님프의 머리카락
37,유니콘의 뿔
38,망령의 정수
39,엑토플라즘
40,구울의 혀
41,거미의 독
42,트롤의 피
43,뱀독
44,고르곤의 뱀
45,리치의 가루
46,용의 비늘
47,거대 전갈의 독침
48,작은 전갈의 독침
49,미라의 붕대
50,거인의 피
51,바실리스크의 눈
52,그리폰의 깃털
53,데이드라의 심장
54,성자의 머리카락
55,성유물
56,큰 이빨
57,중간 이빨
58,작은 이빨
59,정제수
60,빗물
61,오크의 피
62,생명의 영약
63,넥타르
64,이코르
65,수은
66,주석
67,황동
68,자철석
69,유황
70,납
71,철
72,구리
73,은
74,금
75,백금
76,상아
77,진주
78,인둘케트
79,수르숨
80,콰에스토 빌
81,에그로타트
82,유리 항아리
83,유리병
84,디캔터
85,토기 항아리
86,작은 자루
87,큰 자루
88,화살통
89,배낭
90,작은 상자
91,와인 진열대
92,큰 상자
93,작은 수레
94,말
95,노 젓는 배
96,큰 배
97,소형 선박
98,대형 갤리선
99,타운하우스 증서
100,주택 증서
101,저택 증서
102,흉갑
103,건틀릿
104,각반
105,왼쪽 견갑
106,오른쪽 견갑
107,투구
108,장화
109,버클러
110,원형 방패
111,카이트 실드
112,타워 실드
113,단검
114,단도
115,지팡이
116,숏소드
117,와키자시
118,브로드소드
119,세이버
120,롱소드
121,카타나
122,클레이모어
123,다이카타나
124,메이스
125,플레일
126,워해머
127,전투 도끼
128,전쟁 도끼
129,단궁
130,장궁
131,화살
132,마법서
133,아뮬렛
134,팔 보호대
135,반지
136,팔찌
137,표식
138,목고리
139,천 아뮬렛
140,완드
141,끈
142,팔띠
143,기모노
144,화려한 팔띠
145,띠
146,에오도릭
147,신발
148,긴 장화
149,장화
150,샌들
151,평상복 바지
152,반바지
153,짧은 치마
154,평상복 망토
155,정장 망토
156,카짓 의복
157,드윈넨 서코트
158,짧은 튜닉
159,정장 튜닉
160,토가
161,양면 튜닉
162,허리천
163,평범한 로브
164,사제 로브
165,짧은 셔츠
166,짧은 셔츠
167,긴 셔츠
168,긴 셔츠
169,짧은 셔츠
170,짧은 셔츠
171,긴 셔츠
172,긴 셔츠
173,앞트임 튜닉
174,두름천
175,긴 치마
176,안티클레어 서코트
177,도전자의 끈
178,짧은 셔츠
179,긴 셔츠
180,조끼
181,용사의 끈
182,브래지어
183,정장 브래지어
184,평민 블라우스
185,에오도릭
186,신발
187,긴 장화
188,장화
189,샌들
190,평상복 바지
191,평상복 망토
192,정장 망토
193,카짓 의복
194,정장 에오도릭
195,이브닝드레스
196,데이 드레스
197,평상복 드레스
198,끈 없는 드레스
199,허리천
200,평범한 로브
201,여사제 로브
202,짧은 셔츠
203,짧은 셔츠
204,긴 셔츠
205,긴 셔츠
206,짧은 셔츠
207,짧은 셔츠
208,긴 셔츠
209,긴 셔츠
210,앞트임 튜닉
211,두름천
212,긴 치마
213,타이츠
214,짧은 셔츠
215,긴 셔츠
216,조끼
217,소박한 1인용 침대
218,고급 1인용 침대
219,소박한 2인용 침대
220,고급 2인용 침대
221,큰 참나무 탁자
222,큰 벚나무 탁자
223,큰 마호가니 탁자
224,큰 티크 탁자
225,작은 참나무 탁자
226,작은 벚나무 탁자
227,작은 마호가니 탁자
228,작은 티크 탁자
229,참나무 의자
230,벚나무 의자
231,마호가니 의자
232,티크 의자
233,커튼
234,고급 커튼
235,큰 베개
236,작은 베개
237,작은 소박한 양탄자
238,큰 소박한 양탄자
239,작은 고급 양탄자
240,큰 고급 양탄자
241,큰 태피스트리
242,중간 태피스트리
243,작은 태피스트리
244,큰 가죽 깔개
245,작은 가죽 깔개
246,촛대
247,횃불
248,등불
249,붕대
250,관목
251,꽃
252,기름
253,양초
254,망원경
255,저울
256,지구본
257,해골
258,기도 구슬
259,희귀한 종교 상징
260,흔한 종교 상징
261,종
262,성수
263,부적
264,성물
265,작은 조각상
266,큰 조각상
267,성상
268,스카라베
269,성스러운 양초
270,성스러운 단검
271,성서
272,제단
273,성수반
274,영혼 포획
275,신용장
276,금화
277,책
278,물약 제조법
279,양피지
280,토템
281,시신
282,만텔라
283,손가락
284,그림
285,주택 증서
286,선박 증서
287,지도
