Key,Value
382613,카르쿤 저택
1435144,날아다니는 염소 호스텔
2484750,카오르촘 농장 유적
3533330,스텐다르의 노래하는 별
4582840,죽은 그리핀 여관
5631489,스텐다르의 신성한 재탄생
6681069,피그타 농장 유적
7730553,스텐다르의 축복받은 예언자
8779219,마오른의 경비대
9828725,옛 네스 거처
10878349,아트리가
11926957,클레르의 무덤
12975535,옛 룩타 오두막
14025104,부비리다타
15074640,박쥐와 새 호스텔
16124193,베르바크니아
17174726,라좀의 지하 묘지
18223327,그롤레텐
19271936,옛 스테티 거처 유적
20320547,슈스트 농장
21369130,스텐다르의 성스러운 순교자
22417712,리셴 성
23467165,코필트의 무덤
24516751,스텐다르의 두려운 나무
25565421,타르더 지하 금고
26614955,가흐 농장 유적
27663535,틀런컨 황궁 유적
28712158,무르긴 저택
29760740,스텐다르의 눈물 흘리는 구원자
30810229,무르프 과수원 유적
31859850,아자루스 거미줄
32910438,투제 탑
33959037,시에그탄 저택 유적
35008605,칼로구자
36057193,사울루르 농장 유적
37106662,메림의 경비대 유적
38155335,쥐와 성 주점
39204823,를릭타 농장
40253489,시로-콤
41303972,스텐다르의 피 흘리는 빛
42353413,옛 레르크파 오두막 유적
43402098,크로필렌 궁정 유적
44450710,카엑트컨 탑
45499404,스텐다르의 피 흘리는 선지자
46548913,옛 모르치 거처 유적
47597527,바에숨 탑
48647001,헤투부
49695593,라이르그케 홀 유적
50744174,세크비트
51793622,폴 황궁
52842419,악마의 머그잔 주점
53891732,옛 슬레스-아이 농장 유적
54940340,모간다톤
55989066,루르쿠르 묘지
57037717,블로지르 지하 금고
58086314,트리세를로로그 거미줄
59135650,를레트텐 농장 유적
60184362,마렉술라 저택
61233933,그레존 황궁
62282512,발토밤의 돌무지
63331146,리테호스의 무덤
64379737,달펨 홀
65429189,초르트의 지하 묘지
66477767,제누누가
67526394,로길라
68575045,가린 저택
69624526,케르다르 요새
70673223,다센 탑
71722522,옛 머트-시 오두막
72771108,스텐다르의 불타는 우상
73819798,쿠르틴 궁정
74868381,오소파이사
75917092,플로 구덩이
76966430,마엘링크술라 은둔처
78015130,쉬지 않는 오소리 여관
79064561,샬리르 탑
80113160,를롤드컨 탑 유적
81161870,메사스쿠자
82210490,세리부레아
83259071,바기시부
84307700,버드 황궁
85356287,게리블리더 수도원
86405622,렐더 묘지
87454323,바에르페 저택
88502910,스텐다르의 신성한 선지자
89551540,피르흐트컨 탑
90600914,무스툰 홀
91649523,마에슈케 농장 유적
92698270,스텐다르의 피 흘리는 일출
93747600,바르펜 농장 유적
