Key,Value
1,펜릭의 문 봉쇄
2,부력
3,동상
4,공중 부양
5,빛
6,투명화
7,마법사의 불꽃
8,전격
9,힘 흡수
10,행동 자유
11,냉기 저항
12,화염 저항
13,전격 저항
14,화염구
15,독 치료
16,얼음 화살
17,방패
18,잠금 해제
19,마법사의 잠금
20,얼음 폭풍
22,주문 방패
23,침묵
24,트롤의 피
25,화염 폭풍
26,독 저항
27,매지카 강탈
28,원거리 침묵
29,독성 구름
30,샬리도르의 거울
31,번개
32,신들의 불꽃
33,들불
34,마법사 분쇄
35,메두사의 시선
36,힘의 화살
37,낙하 감속
38,도약
39,주문 저항
40,지구력
41,수상 보행
42,수중 호흡
44,카멜레온
45,그림자 형상
46,주문 반사
47,주문 흡수
49,언어 이해
50,마비
51,수면
52,흡혈의 손길
53,잠의 손
54,매지카 흡수
55,무효화 구체
56,부패의 손
57,데이드라 추방
58,성스러운 말씀
59,매지카 무효화
60,발리나의 해독제
61,질병 치료
62,영혼 포획
64,치유
66,거미의 손길
67,기력 흡수
71,마전자
72,비소
73,달씨앗
74,드로스위드
75,솜날리우스
76,피릭산
77,마법사 파멸
78,시르워트
79,인둘케트
80,수르숨
81,콰에스토 빌
82,오크의 힘
83,지혜
84,강철의 의지
85,날렵함
86,노토르고의 발
87,강인함
88,카리스마
89,팔방미인
90,인간 매혹
91,인간형 진정
92,수인화
94,귀환
97,발리나의 연고
98,언데드 진정
99,길들이기
