- Text database for mod and mod settings windows.

schema: *key,text

modLoadPriority,불러오기 우선순위
modTitle,선택한 모드
modDescription,모드 설명
modVersion,버전
modAuthor,제작자
modAuthorContact,연락처
modDFTFUVersion,DFUnity 버전

emptyTitle,<제목>
missingTitle,<알 수 없음>
emptyDescription,<설명>
missingDescription,<설명 없음>
title,제목
description,설명
author,제작자
ok,확인
versionMismatch,버전이 맞지 않습니다!

increase,우선순위 높이기
lower,우선순위 낮추기
enableAll,모두 켜기
enableAllInfo,모든 모드를 활성화합니다
disableAll,모두 끄기
disableAllInfo,모든 모드를 비활성화합니다
copyToClipboard,->클립보드
copyToClipboardInfo,모드 목록을 시스템 클립보드에 복사합니다
modsCopiedToClipboard,모드 목록을 클립보드에 복사했습니다
enabled,활성화
enabledInfo,모드 활성화 여부를 전환합니다
refresh,새로 고침
refreshInfo,모드 폴더의 변경 사항을 다시 확인합니다
saveClose,저장하고 닫기
saveCloseInfo,변경 사항을 저장하고 옵션 메뉴로 돌아갑니다
extractText,텍스트 추출
extractTextInfo,텍스트 에셋을 추출합니다
extractTextConfirmation,이 모드의 모든 텍스트 에셋을 {0}에 추출했습니다.
new,새로 만들기
load,불러오기
save,저장
delete,삭제
cancel,취소
export,내보내기
exportMessage,{0}을(를) {1}(으)로 내보냅니다.
reset,초기화
resetConfirmation,모든 설정을 기본값으로 되돌리시겠습니까?
cleanConfigurationDir,알 수 없거나 제거된 모드의 설정 파일이 발견되었습니다. 삭제하시겠습니까?

backToOptions,옵션으로 돌아가기
backToOptionsInfo,변경 사항을 저장하지 않고 옵션으로 돌아갑니다
modsFound,발견된 모드
modsSearch,검색
modsNoMatching,일치하는 모드를 찾지 못했습니다
settings,설정
settingsInfo,모드 설정을 변경합니다
presets,프리셋

presetCreator,프리셋 만들기
presetNewInfo,현재 설정으로 새 프리셋을 만듭니다.
presetLoadInfo,프리셋을 불러와 현재 설정에 적용합니다.
presetSaveInfo,현재 설정을 선택한 프리셋에 저장합니다.
presetDeleteInfo,선택한 프리셋을 삭제합니다.
presetExportInfo,선택한 프리셋을 공유 가능한 파일로 내보냅니다.
titleOrDescriptionMissing,제목과 설명은 반드시 입력해야 합니다.

dependencyErrorMessage,다음 문제로 일부 모드가 올바르게 작동하지 않을 수 있습니다:
dependencyIsMissing,모드 {0}을(를) 찾지 못했습니다
dependencyNotEnabled,필요한 모드 {0}이(가) 활성화되어 있지 않습니다
dependencyWithIncorrectPosition,{0}은(는) 불러오기 순서에서 더 위에 있어야 합니다
dependencyWithIncompatibleVersion,{0}의 버전은 {1}이지만 {2} 이상이 필요합니다
sortModsQuestion,모드를 자동으로 정렬하시겠습니까?
gameVersionUnsatisfied,Daggerfall Unity v.{0} 이상이 필요합니다
